"planting_activity_pkey","study_year","treatment_fkey","treatment","treatment_long","blocks","crop","planting_date","seed_company","seed_hybrid","maturity_value","maturity_unit","trait_list","seeding_rate_value","seeding_rate_unit","planting_depth_inch","emergence_date","tractor","implement","original_entry","comment"
51,"2016",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2016-05-17,"Pioneer","92Y75",2.7,"Relative Maturity (RM)","PI88788 SCN resistance; Roundup Ready",140000,"seeds/acre",NA,NA,"John Deere 6430","Kinze 3000 planter (6-row)","Corn and Soybean planted with John Deere 6430 tractor and Kinze 3000 6 row planter. Soybean: Pioneer 92Y75 planted at 140,000 seeds/acre. Corn: Pioneer P1151AM planted at 35,000 seeds/acre w/ 75lbs/acre of Nitrogen (UAN-32) and 5lbs/acre of Force 3G insecticide. 5/18/2016 Hand seeded corn and soybean around sensors in blocks 1 and 2.",NA
52,"2016",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2016-09-21,"Albert Lea Seed","Spooner",NA,NA,NA,100,"lbs/acre",NA,NA,"John Deere 4710 drop seeder (converted sprayer)",NA,"Rye seeded into standing corn of CCW plots. ""Spooner"" variety of hybrid rye from Albert Lea Seed was used at 100lbs/acre. John Deere 4710 was used- converted sprayer with Gandy box and 60ft drop seeder boom.",NA
53,"2017",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2017-05-15,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Corn planted in C2, CC, and CCW plots.  Pioneer P1197AMXT hybrid planted at 35,000 seeds/acre. John Deere 8245R tractor and John Deere 1770NT 12 row planter were used. Plot 22 (S2) accidentally received a 12 row pass of corn, which will be terminated. C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32). Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
54,"2017",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2017-05-15,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Corn planted in C2, CC, and CCW plots.  Pioneer P1197AMXT hybrid planted at 35,000 seeds/acre. John Deere 8245R tractor and John Deere 1770NT 12 row planter were used. Plot 22 (S2) accidentally received a 12 row pass of corn, which will be terminated. C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32). Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
55,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2017-05-15,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Corn planted in C2, CC, and CCW plots.  Pioneer P1197AMXT hybrid planted at 35,000 seeds/acre. John Deere 8245R tractor and John Deere 1770NT 12 row planter were used. Plot 22 (S2) accidentally received a 12 row pass of corn, which will be terminated. C2, CC and CCW plots sprayed with Roundup Powermax (24 oz/acre), Corvus (5.6 oz/acre) and 75 lbs of N (UAN-32). Case patriot 3340 sprayer was used for herbicide and fertilizer application.",NA
56,"2017",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2017-05-30,"Pioneer","P32T16R",3.2,"Relative Maturity (RM)",NA,140000,"seeds/acre",NA,NA,"John Deere 8245R","John Deere 1770NT 12-row planter","Soybeans planted, Pioneer P32T16R variety planted at 140,000 seeds/acre. John Deere  8245 R tractor and  John Deere 1770NT 12 row planter were used.",NA
57,"2017",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2017-08-25,"Albert Lea Seed","Aroostook",158.5,"days after planting to 50% bloom",NA,100,"lbs/acre",NA,NA,"John Deere 4710 drop seeder (converted sprayer)",NA,"Rye seeded in all CCW plots. Aristook variety from Albert Lea seed house, seeded at 100lbs/acre. John Deere drop seeder used (converted sprayer).",NA
58,"2018",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2018-05-17,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",2.5,NA,"John Deere 8270R","John Deere 1770INT 12-row planter","Planted corn and soybeans. John Deere 8270R tractor and John Deere 1770INT 12 row planter. Corn: Pioneer P1197AMXT planted ~2.5"" deep at 35,000 seeds/ac. Soybean: Pioneer P31A22X planted ~2.5"" deep at 140,000 seeds/ac.",NA
59,"2018",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2018-05-17,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",2.5,NA,"John Deere 8270R","John Deere 1770INT 12-row planter","Planted corn and soybeans. John Deere 8270R tractor and John Deere 1770INT 12 row planter. Corn: Pioneer P1197AMXT planted ~2.5"" deep at 35,000 seeds/ac. Soybean: Pioneer P31A22X planted ~2.5"" deep at 140,000 seeds/ac.",NA
60,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2018-05-17,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",35000,"seeds/acre",2.5,NA,"John Deere 8270R","John Deere 1770INT 12-row planter","Planted corn and soybeans. John Deere 8270R tractor and John Deere 1770INT 12 row planter. Corn: Pioneer P1197AMXT planted ~2.5"" deep at 35,000 seeds/ac. Soybean: Pioneer P31A22X planted ~2.5"" deep at 140,000 seeds/ac.",NA
61,"2018",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2018-05-17,"Pioneer","P31A22X",3.1,"Relative Maturity (RM)","Roundup Ready 2 Xtend",140000,"seeds/acre",2.5,NA,"John Deere 8270R","John Deere 1770INT 12-row planter","Planted corn and soybeans. John Deere 8270R tractor and John Deere 1770INT 12 row planter. Corn: Pioneer P1197AMXT planted ~2.5"" deep at 35,000 seeds/ac. Soybean: Pioneer P31A22X planted ~2.5"" deep at 140,000 seeds/ac.",NA
62,"2018",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2018-09-12,NA,"Elbon",162.5,"days after planting to 50% bloom",NA,112,"lbs/acre",NA,NA,"John Deere 4710 drop seeder (converted sprayer)",NA,"Rye seeded in all CCW plots. Elbon variety seeded at 112lbs/ac (2 bu./ac). John Deere drop seeder used (converted sprayer).",NA
63,"2019",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2019-06-04,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",36000,"seeds/acre",2,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Corn planted in all corn plots. Pioneer P1197AMXT hybrid was planted at 36,000 seeds/acre at a depth of 2"". John Deere 7230R tractor and John Deere 1770INT 12 row planter were used. All corn plots received 100lbs/ac of N (UAN-32 injected at planting).",NA
64,"2019",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2019-06-04,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",36000,"seeds/acre",2,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Corn planted in all corn plots. Pioneer P1197AMXT hybrid was planted at 36,000 seeds/acre at a depth of 2"". John Deere 7230R tractor and John Deere 1770INT 12 row planter were used. All corn plots received 100lbs/ac of N (UAN-32 injected at planting).",NA
65,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2019-06-04,"Pioneer","P1197AMXT",113,"Comparative Relative Maturity (CRM)","Agrisure RW; YieldGard Corn Borer; Herculex XTRA",36000,"seeds/acre",2,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Corn planted in all corn plots. Pioneer P1197AMXT hybrid was planted at 36,000 seeds/acre at a depth of 2"". John Deere 7230R tractor and John Deere 1770INT 12 row planter were used. All corn plots received 100lbs/ac of N (UAN-32 injected at planting).",NA
66,"2019",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2019-06-10,"Pioneer","P31A22X",3.1,"Relative Maturity (RM)","Roundup Ready 2 Xtend",140000,"seeds/acre",2,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Soybeans planted in all soybean plots. Pioneer P31A22X soybeans were planted at 140,000 seeds/ac at a depth of 2"". John Deere 7230R tractor and John Deere 1770INT 12 row planter were used.",NA
67,"2019",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2019-09-06,NA,"Elbon",162.5,"days after planting to 50% bloom",NA,112,"bu/acre",NA,NA,"John Deere 4710 drop seeder (converted sprayer)",NA,"Rye seeded in all CCW plots. Elbon variety rye (provided by Mike Fiscus) was seeded at 112 bu/acre. John Deere 4710 high-boy drop seeder (converted sprayer) was used.","seeding rate should probably be 112 lbs/acre, but listed as bu/acre"
68,"2020",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2020-04-30,"Pioneer","P1197AM",113,"Comparative Relative Maturity (CRM)","YieldGard Corn Borer; Herculex I; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Corn planted in all corn plots. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. Pioneer 1197 Hybrid was planted at 36,000 seeds/acre. 100lbs/acre of N (UAN-32) was applied to all corn plots with planter. '***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2).","***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2)."
69,"2020",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2020-04-30,"Pioneer","P1197AM",113,"Comparative Relative Maturity (CRM)","YieldGard Corn Borer; Herculex I; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Corn planted in all corn plots. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. Pioneer 1197 Hybrid was planted at 36,000 seeds/acre. 100lbs/acre of N (UAN-32) was applied to all corn plots with planter. '***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2).","***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2)."
70,"2020",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2020-04-30,"Pioneer","P1197AM",113,"Comparative Relative Maturity (CRM)","YieldGard Corn Borer; Herculex I; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Corn planted in all corn plots. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. Pioneer 1197 Hybrid was planted at 36,000 seeds/acre. 100lbs/acre of N (UAN-32) was applied to all corn plots with planter. '***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2).","***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2)."
71,"2020",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2020-05-12,"Pioneer","P25A826",2.5,"Relative Maturity (RM)","conventional",140000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770INT 12-row planter","Soybeans planted in all S2 plots. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. Pioneer P25A826 soybeans were planted at 140,000 seeds/acre.","***approximatly 30ft x 12 rows of corn was accidentally planted in plot 44 (S2)."
72,"2020",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2020-10-30,"Albert Lea Seed","Aroostook",158.5,"days after planting to 50% bloom",NA,120,"lbs/acre",NA,NA,"John Deere 6125R","John Deere 750 10 ft no-till drill","Rye seeded in all CCW plots. John Deere 6125R tractor and John Deere 750 10' grain drill were used. Albert Lea Aristook Rye seeded at 120lbs/acre.",NA
73,"2021",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2021-05-07,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2.75,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P1108Q (provided by Mark Licht) planted at 36,000 seeds/acre at a planting depth of 2 3/4"". John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. 75lbs/acre of N (UAN-32) was added to all plots at planting.",NA
74,"2021",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2021-05-07,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2.75,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P1108Q (provided by Mark Licht) planted at 36,000 seeds/acre at a planting depth of 2 3/4"". John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. 75lbs/acre of N (UAN-32) was added to all plots at planting.",NA
75,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2021-05-07,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2.75,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P1108Q (provided by Mark Licht) planted at 36,000 seeds/acre at a planting depth of 2 3/4"". John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. 75lbs/acre of N (UAN-32) was added to all plots at planting.",NA
76,"2021",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2021-05-13,"Pioneer","P25A96L",2.5,"Relative Maturity (RM)","LibertyLink; PI88788 SCN resistance",140000,"seeds/acre",2,NA,"John Deere 7320R","John Deere 1770NT 12-row planter","Soybeans planted in all soybean plots. Pioneer P25A96L (Provided by Mark Licht) seeded at 140,000 seeds/acre at a planting depth of 2"". John Deere 7320R tractor and John Deere 1770NT 12 planter were used.",NA
77,"2021",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2021-11-04,"Albert Lea Seed","Aroostook",158.5,"days after planting to 50% bloom",NA,128,"lbs/acre",NA,NA,"John Deere 6130R","John Deere 750 10 ft no-till drill","Rye seeded in all CCW plots. John Deere 6130R tractor and John Deere 750 no till drill were used. Albert Lea Aristook Rye seeded at 128 lbs/acre.",NA
78,"2022",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2022-05-24,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2.5,NA,"John Deere 7230","John Deere 1770NT 12-row planter","Corn planted in all corn plots. John Deere 7230 tractor and John Deere 1770NT 12 row planter were used. Pioneer           corn planted at 36,000 seeds per acre. 75 lbs/ac of N (UAN-32) added to all plots at planting.  Planting depth ~2.5"".",NA
79,"2022",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2022-05-24,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2.5,NA,"John Deere 7230","John Deere 1770NT 12-row planter","Corn planted in all corn plots. John Deere 7230 tractor and John Deere 1770NT 12 row planter were used. Pioneer           corn planted at 36,000 seeds per acre. 75 lbs/ac of N (UAN-32) added to all plots at planting.  Planting depth ~2.5"".",NA
80,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2022-05-24,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2.5,NA,"John Deere 7230","John Deere 1770NT 12-row planter","Corn planted in all corn plots. John Deere 7230 tractor and John Deere 1770NT 12 row planter were used. Pioneer           corn planted at 36,000 seeds per acre. 75 lbs/ac of N (UAN-32) added to all plots at planting.  Planting depth ~2.5"".",NA
81,"2022",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2022-06-20,"Pioneer","P28A65E",2.8,"Relative Maturity (RM)","Enlist E3",140000,"seeds/acre",NA,NA,"John Deere 6130R","unspecified planter (6-row)","Soybeans planted in all S2 plots. Pioneer P28A65E soybeans planted at 140,000 seeds per acre. John Deere 6130R tractor and 6 row planter were used.",NA
82,"2022",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2022-11-28,NA,"Hazlet",172.5,"days after planting to 50% bloom",NA,128,"lbs/acre",NA,NA,"John Deere 6115R","John Deere 750 10 ft no-till drill","Rye seeded in all CCW plots. John Deere 6115R tractor and John Deere 750 no till drill were used. Hazlet variety rye seeded at 128 lbs/ac.",NA
83,"2023",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2023-05-22,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P1108Q corn seeded at 36,0000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used.",NA
84,"2023",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2023-05-22,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P1108Q corn seeded at 36,0000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used.",NA
85,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2023-05-22,"Pioneer","P1108Q",111,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P1108Q corn seeded at 36,0000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used.",NA
86,"2023",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2023-05-23,"Pioneer","P29A19E",2.9,"Relative Maturity (RM)","Enlist E3",140000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Soybeans planted in all soybean plots. Pioneer P29A19E soybeans seeded at 140,000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used.",NA
87,"2023",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2023-11-03,NA,"Hazlet",172.5,"days after planting to 50% bloom",NA,111,"lbs/acre",NA,NA,"John Deere 6140","John Deere 1560 15 ft no-till drill","Rye seeded in all CCW plots. John Deere 6140 tractor and John Deere 1560 15ft no till drill were used. Hazlet variety of rye seeded @ 111 lbs/ac.",NA
88,"2024",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2024-05-30,"Pioneer","P22A67E (untreated)",2.2,"Relative Maturity (RM)","Enlist E3; PI88788 SCN resistance; Phytophthora resistance genes RPS 1k & 3a; brown stem rot highly tolerant",140000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Soybeans planted in all soybean plots. Pioneer P22A67E (untreated) soybeans seeded at 140,000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used.",NA
89,"2024",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2024-05-31,"Pioneer","P08075Q",108,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P08075Q seeded at 36,000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. 75 lbs/ac of N (UAN-32) was applied at planting to all corn plots.",NA
90,"2024",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2024-05-31,"Pioneer","P08075Q",108,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P08075Q seeded at 36,000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. 75 lbs/ac of N (UAN-32) was applied at planting to all corn plots.",NA
91,"2024",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2024-05-31,"Pioneer","P08075Q",108,"Comparative Relative Maturity (CRM)","Qrome; LibertyLink; Roundup Ready 2",36000,"seeds/acre",NA,NA,"John Deere 7230R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer P08075Q seeded at 36,000 seeds/ac. John Deere 7230R tractor and John Deere 1770NT 12 row planter were used. 75 lbs/ac of N (UAN-32) was applied at planting to all corn plots.",NA
92,"2024",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2024-09-19,NA,"Hazlet",172.5,"days after planting to 50% bloom",NA,120,"lbs/acre",NA,NA,"John Deere 4710 drop seeder (converted sprayer)",NA,"Rye drop seeded into all CCW plots. John Deere 4710 (converted sprayer) and Gandy Orbit air spreader were used. Hazlet variety rye was seeded at 120 lbs/ac.",NA
93,"2025",1,"C2","corn_soy_rotation","1, 2, 3, 4","corn",2025-05-16,"Pioneer","P08527V",108,"Comparative Relative Maturity (CRM)","Vorceed; Enlist; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2,NA,"John Deere 8R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer PO8527V seeded at 36,000 seeds/ac at 2"" depth. 75 lbs/ac of N was added to all corn plots at planting. John Deere 8R tractor and John Deere 1770NT 12 row planter were used.",NA
94,"2025",2,"CC","continuous_corn_stover_removed","1, 2, 3, 4","corn",2025-05-16,"Pioneer","P08527V",108,"Comparative Relative Maturity (CRM)","Vorceed; Enlist; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2,NA,"John Deere 8R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer PO8527V seeded at 36,000 seeds/ac at 2"" depth. 75 lbs/ac of N was added to all corn plots at planting. John Deere 8R tractor and John Deere 1770NT 12 row planter were used.",NA
95,"2025",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","corn",2025-05-16,"Pioneer","P08527V",108,"Comparative Relative Maturity (CRM)","Vorceed; Enlist; LibertyLink; Roundup Ready 2",36000,"seeds/acre",2,NA,"John Deere 8R","John Deere 1770NT 12-row planter","Corn planted in all corn plots. Pioneer PO8527V seeded at 36,000 seeds/ac at 2"" depth. 75 lbs/ac of N was added to all corn plots at planting. John Deere 8R tractor and John Deere 1770NT 12 row planter were used.",NA
96,"2025",6,"S2","soy_corn_rotation","1, 2, 3, 4","soybean",2025-05-16,"Xitavo","X02075E",2,"Relative Maturity (RM)","Enlist E3; Peking SCN resistance; Phytophthora resistance genes RPS 3a",140000,"seeds/acre",2,NA,"John Deere 8R","John Deere 1770NT 12-row planter","Soybeans planted in all S2 plots. Xitaro X02075E soybeans seeded at 140,000 seeds/ac at 2"" depth. John Deere 8R tractor and John Deere 1770NT 12 row planter were used.",NA
97,"2025",3,"CCW","continuous_corn_cover_crop_stover_removed","1, 2, 3, 4","rye",2025-10-03,NA,"Elbon",162.5,"days after planting to 50% bloom",NA,111,"lbs/acre",NA,NA,"John Deere 6420","John Deere 1560 15 ft no-till drill","Stalks chopped in all corn plots. John Deere 6R130 tractor and John Deere 115 flail mower were used. Elbon variety of rye seeded in all CCW plots at a rate of 111 lbs/ac. John Deere 6420 tractor and John Deere 1560 no till drill was used.",NA
